Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Index Keywords
Cró S.; Martins A.M.,"Cró, Susana (57192239324); Martins, António Miguel (57192214348)",57192239324; 57192214348,Tourism activity affects house price dynamics? Evidence for countries dependent on tourism,2023,Current Issues in Tourism,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158887939&doi=10.1080%2f13683500.2023.2204398&partnerID=40&md5=2e9350e8f86226077babbc7319f0a496,"This study analyses the impact of tourism in house prices in eight tourism-dependent countries in terms of exports for the period from 2000 to 2018. We employ a Vector-Error Correction Model (VECM) for the empirical estimation given that house prices, tourism activity and other determinants are cointegrated. The results indicate that tourism has a significant positive impact on house prices both in the short-run and in the long-run. The Granger causality tests show that tourism activity Granger-causes house prices in the eight countries analysed. These results have important practical and political implications. There is a delicate environment and social equilibrium in tourist destinations that it is necessary to ensure. If it is true that tourism has positive effects on the economy through job creation and economic growth it is also important to internalize the negative externalities caused by tourism, through the adoption of appropriate economic instruments and policies. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",
Su Y.; Cherian J.; Sial M.S.; Badulescu A.; Thu P.A.; Badulescu D.; Samad S.,"Su, Yong (57204552569); Cherian, Jacob (55370498500); Sial, Muhammad Safdar (57202748685); Badulescu, Alina (37022921200); Thu, Phung Anh (57203805838); Badulescu, Daniel (54985664100); Samad, Sarminah (36083232600)",57204552569; 55370498500; 57202748685; 37022921200; 57203805838; 54985664100; 36083232600,Does tourism affect economic growth of china? A panel granger causality approach,2021,Sustainability (Switzerland),13,3,1349,1,12,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100308683&doi=10.3390%2fsu13031349&partnerID=40&md5=e193d27b83b697dd4251387f142611e9,"The main purpose of the current study is to investigate if tourism affects economic growth of China. The data set has been acquired from the Beijing Municipal Bureau of Statistics, and the time span of the data set takes into account a 20-year time period, from 2000 to 2019. To determine the strength of the above-mentioned relationship previous models that have been used for this research are mainly VAR (vector auto-regression) and VECM (vector error correction) models. The VAR and VECM models have been conducted together with the Granger causality test. The internal revenue generated from tourism-related activities is taken as being the main indicator for the tourism industry, while economic growth is determined by GDP (gross domestic product). We support the above-mentioned notion, as we found that a strong relationship exists between the development of the tourism industry and economic growth. Moreover, our analysis also indicates that this industry has a major impact on long-term economic growth in the region as well. This study thus provides further support to the existing literature on the topic of tourism and the impact that tourism-related activities have upon economic development and growth. The existence and the impact of tourism-related activities upon long-term economic growth were confirmed by the results of the VAR models. At the same time, the unidirectional results of VECM models have confirmed the existence of economic growth in the short term. In our case, the cardinal relationship between the development of the tourism industry and the economic growth in the Beijing region of China have managed to provide strong empirical support to the earlier stated notions and to the literature alike. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",China; Delhi; India; New Delhi; Indicator indicator; economic development; economic growth; empirical analysis; Granger causality test; literature review; panel data; tourism market
Seetanah B.; Gopy-Ramdhany N.; Bhattu-Babajee R.,"Seetanah, Boopen (15766107800); Gopy-Ramdhany, Narvada (57191647021); Bhattu-Babajee, Reena (57191658809)",15766107800; 57191647021; 57191658809,Can tourism curb income inequality? Tourism Agenda 2030,2023,Tourism Review,78,2,,646,664,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149573469&doi=10.1108%2fTR-02-2022-0094&partnerID=40&md5=7a2e65725ecfc6b1c6c62d849bf6fb23,"Purpose: This paper aims to examine the relationship between tourism development and income inequality, closely linked to the Sustainable Development Goals, for the case of a large sample of 83 countries (and subsamples) over the period 1990–2019. Design/methodology/approach: This study uses rigorous dynamic panel data analysis, namely, a Panel Vector Autoregressive Error Correction model, which takes into account both dynamic and endogenous relationships in the tourism-inequality nexus. Findings: The results provide strong support that tourism development has an income inequality reducing effect (albeit relatively small with a reported elasticity of 0.05). Subsamples analysis reveals that the impact of tourism on income inequality varies and is relatively larger in developing economies and those tourist-dependent economies, as compared to developed economies. In fact, it is reported that a 1% increase in tourism development reduces income inequality by 0.46% for developing and 0.56% for tourist-dependent economies as compared to only 0.02% in developed economies. It is further observed that tourism may affect income inequality indirectly via economic growth. Originality/value: This paper attempts to supplement the dearth literature on the tourism-inequality nexus by analyzing subsamples from a large data set while also using a dynamic panel data framework. The potential indirect effect of tourism on inequality via the economic growth channel is also explored. © 2023, Emerald Publishing Limited.",
Almeida A.,"Almeida, António (57221592303)",57221592303,Tourism Development and Economic Growth: The Validity of the Tourism-Led Growth Hypothesis for Madeira; [Desenvolvimento do Turismo e Crescimento Económico: A Validade da Hipótese do Crescimento Liderado pelo Turismo para a Madeira],2023,Revista Portuguesa de Estudos Regionais,,65,,31,50,19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169055743&doi=10.59072%2frper.vi65.579&partnerID=40&md5=646a0e631a89f762ee138118f39267d1,"Most island's economies, such as Madeira, are confined to maximizing opportunities in the sectors not constrained by market proximity, as in the case of tourism. Previous empirical studies have mainly applied econometric models to find and characterize the relationship between tourism development and real GDP in the long run. While a few studies fail to corroborate this relationship due to its complex nature, most studies confirm the Tourism-Led Growth Hypothesis (TLGH) that links the economic growth on islands to further development in the tourism sector. This paper explores the validity of the tourism-led growth hypothesis for Madeira using annual data from 1978 to 2019. The results of the cointegration tests point to a positive long-run relationship between tourism receipts and economic growth. Moreover, the analysis of the short-run dynamics, based on a VECM reveal that this long-run linear relationship is stable. However, we need to the taking into account the existence of structural breaks, and a change of regime, and therefore sources of instability. From a “causality” point of view, the main finding suggests that there is long-run causality running from tourism to GDP but not the opposite. The overall results seem to corroborate the widespread view of the region´s over-dependence on the tourism sector © (2023), (APEQ - Associacao Portuguesa para o Estudo do Quaternario). All Rights Reserved.",
Garidzirai R.; Nguza-Mduba B.,"Garidzirai, Rufaro (57208708088); Nguza-Mduba, Bulelwa (57214108825)",57208708088; 57214108825,Does tourism contribute to local economic development (LED) in the City of Cape Town Municipality? A time series analysis,2020,"African Journal of Hospitality, Tourism and Leisure",9,1,,1,13,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078321412&partnerID=40&md5=aadb8889c21187cbeed12085f0d2544a,"Local economic development (LED) is envisioned to improve local economic challenges. Unfortunate the City of Cape Town local municipality is dominated by poverty, inequality, stagnant economic growth and unemployment. Despite these challenges, researchers contend that tourism is a vehicle to local economic development. Thus, the purpose of the paper was to examine the influence of tourism on LED in the Cape town city municipality from 1994-2018. In achieving this purpose, the study used a Vector Error Correction Model (VECM) time series analysis and the Granger Causality analysis. The results show a positive relationship between exports, number of tourists and local economic development. Contrawise, tourism receipts are negatively related to local economic development. Notable is that local economic development and tourism receipts have a positive relationship in the short-run. The study therefore recommends the enforcement of a tourism policy that specifically benefits the residents more than the business people and entrepreneurs. © 2020 AJHTL /Author/s.",
Ahn Y.-G.; Lee M.-K.,"Ahn, Young-Gyun (57226659556); Lee, Min-Kyu (56143392400)",57226659556; 56143392400,Elasticity of the number of world cruise tourists using the vector error correction model,2021,Sustainability (Switzerland),13,16,8743,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112326438&doi=10.3390%2fsu13168743&partnerID=40&md5=ca4133f79288f8aa67c96649d3f71ce9,"Along with the growth of the marine tourism industry, the number of global cruise tourists is rapidly increasing; the competition among regions to attract cruise tourists is increasing. The current study aims to verify that the global cruise tourism industry can be sustainable through its inherent power for long-term balanced convergence within the industry and can flexibly respond to external shocks such as COVID-19. This study applies the Vector Error Correction Model (VECM) to estimate the long-term balance function that determines the number of world cruise tourists. This study reveals that the number of world cruise tourists finally converges to long-term balance if the number of world cruise tourists at present is lower than the one at long-term equilibrium. In summary, the results of the VECM in the present study suggest the presence of an “invisible hand” in the global cruise tourism industry converging to a long-term balance. A few previous studies have suggested ways to increase global cruise tourists and promote the cruise tourism industry through qualitative methods, however, little research has estimated the decision function of the number of cruise tourists at a long-term equilibrium point. This study shows the dynamic characteristics of the cruise tourism market using the VECM. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",competition (economics); correction; COVID-19; cruise report; error correction; estimation method; research work; tourism market
Pavlic I.; Svilokos T.; Tolic M.S.,"Pavlic, Ivana (8632420000); Svilokos, Tonci (55747126200); Tolic, Meri Suman (55998473900)",8632420000; 55747126200; 55998473900,"Tourism, Real Effective Exchange Rate and Economic Growth: Empirical Evidence for Croatia",2015,International Journal of Tourism Research,17,3,,282,291,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927067212&doi=10.1002%2fjtr.1986&partnerID=40&md5=3c6f00bd1c5cb39bec54a59f98d08079,"The aim of this paper is to examine the long-run and short-run relationship between tourism, real effective exchange rate and economic growth in Croatia. The econometric framework used for analysis is the Johansen Maximum Likelihood cointegration technique. For testing the stability of long-run equilibrium relationship vector error correction model technique has been applied on a quarterly data set covering the period 1996-2013. The main findings of the paper confirm the stability of the long-run equilibrium relationship between tourist arrivals (ARRIVAL), openness of the economy (OPEN) and real effective exchange rate as independent variable and gross domestic product (GDP) as dependent variable in Croatia. Furthermore, the results indicate short-run causality between OPEN and GDP, as well as between real effective exchange rate and GDP. © 2014 John Wiley & Sons, Ltd.",
Siddiqui F.; Ahmed Siddiqui D.,"Siddiqui, Farah (58164326100); Ahmed Siddiqui, Danish (57677937300)",58164326100; 57677937300,CAUSALITY BETWEEN TOURISM AND FOREIGN DIRECT INVESTMENT: AN EMPIRICAL EVIDENCE FROM PAKISTAN,2019,Asian Journal of Economic Modelling,7,1,,27,44,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092481996&doi=10.18488%2fjournal.8.2019.71.27.44&partnerID=40&md5=3e06f79ff0ab2af0d852a935e4b0d958,"Tourism is evolving to be one of the important sectors in the world’s economy. This study explores the relationship of tourism and FDI inflows along with macro-economic variables in Pakistan over the period ranging from 1979 to 2017. Augmented Dickey-Fuller test results indicate the presence of stationarity in all variables at first difference. Johansen co-integration, VEC model and VECM Granger causality techniques are employed to check short-run and the long-run relationship among the variables. The results of the Johansen co-integration test indicate that FDI, tourism, GDP, exchange rate, inflation and trade openness are co-integrated. The results of VECM model indicate the presence of long-run causality running from tourism, GDP, exchange rate, inflation and trade openness to FDI in Pakistan. The results of VECM Granger causality test signify one way short-run causality running from tourism to FDI, from GDP to FDI, from inflation to FDI, from trade openness to FDI, from GDP to tourism, from inflation to tourism, from tourism to trade openness, from GDP to trade openness and from exchange rate to trade openness. Two-way causality is found in between FDI and exchange rate and no causation is found from FDI to tourism in the short run. © 2019 AESS Publications. All Rights Reserved.",
Fauzel S.; Seetanah B.; Sannassee R.V.,"Fauzel, Sheereen (57190415107); Seetanah, Boopen (15766107800); Sannassee, R.V. (16053044700)",57190415107; 15766107800; 16053044700,Analysing the impact of tourism foreign direct investment on economic growth: Evidence from a small island developing state,2017,Tourism Economics,23,5,,1042,1055,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048542146&doi=10.1177%2f1354816616664249&partnerID=40&md5=7c85701e372b614cc21d72ea4976949c,"The present study attempts to address the important question of whether foreign direct investment (FDI) flowing into the tourism sector has served to enhance economic growth in Mauritius for the period 1984–2014. Using a dynamic vector error correction model, and catering for dynamism, the results show that tourism FDI has indeed contributed to fostering economic growth; albeit the magnitude of the coefficient being relatively smaller than FDI in the non-tourism sector. A plausible explanation for such a finding may reside in the fact that the bulk of FDI flows in the non-tourism sectors while domestic investment predominates in the tourism sector in Mauritius. The findings also demonstrate a positive relationship between tourism development and economic growth, thus supporting the tourism-led growth hypothesis. © The Author(s) 2016.",Mascarene Islands; Mauritius; developing world; economic growth; foreign direct investment; numerical model; small island state; tourism development
Daniel A.C.M.; Rodrigues P.M.M.,"Daniel, Ana C.M. (55322229400); Rodrigues, Paulo M.M. (7102639726)",55322229400; 7102639726,Assessing the impact of shocks on international tourism demand for Portugal,2012,Tourism Economics,18,3,,617,634,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864338976&doi=10.5367%2fte.2012.0128&partnerID=40&md5=dcd5303995bbcca80401b7c0a98230bf,"In this paper, a vector autoregressive (VAR) framework is used to model international tourism demand from the five main inbound tourism countries for Portugal: Germany, Spain, France, the Netherlands and the UK. Given the non-stationarity of the variables considered, vector error correction models (VECMs) are estimated. These are then used to analyse the impulse response functions in order to determine how international tourism demand for Portugal reacts to shocks to some of its important drivers, such as income, the cost of living in Portugal and the cost of living in Spain (the last as representative of the price in the main competing market with Portugal).",Portugal; Spain; assessment method; demand analysis; error analysis; tourism economics; vector autoregression
Li C.C.; Mahmood R.; Abdullah H.; Chuan O.S.,"Li, Cheam Chai (55371555900); Mahmood, Rosli (37017470800); Abdullah, Hussin (55595930400); Chuan, Ong Soon (55371632400)",55371555900; 37017470800; 55595930400; 55371632400,"Economic Growth, Tourism and Selected Macroeconomic Variables: A Triangular Causal Relationship in Malaysia",2013,Margin,7,2,,185,206,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031860666&doi=10.1177%2f0973801013483503&partnerID=40&md5=8e0865c705ee4c595299b66a9c9ae450,"Tourism is one of the largest and fastest growing industries in the world, which makes it a potential strategic factor for economic growth. This adds to the strong interest in the role of tourism in Malaysia’s economic growth as it is the second-largest contributor to foreign exchange earnings after manufacturing. In addition, empirical results associated with Granger causality among economic growth, tourism and exports within the neoclassical framework are inconsistent. The objectives of this study, thus, are to determine: the long-run relationship; the long-run and short-run Granger causality; and the long-run triangular Granger causality between economic growth and tourism receipts corresponding to selected macroeconomic variables such as government tourism expenditure, physical capital, education, health and exports as control variables. The long-run Granger causality in vector error correction model (VECM) shows economic growth, tourism receipts and health complement each other (bidirectional causality), while unidirectional causalities are found between government tourism expenditure, physical capital, education and exports to economic growth. In addition, enhancing physical capital, education, health, exports and government tourism expenditure precede tourism receipts; all these in turn indirectly lead to economic growth, thus witnessing triangular relationships among them. © 2013, © 2013 National Council of Applied Economic Research.",
Gričar S.; Šugar V.; Bojnec Š.,"Gričar, Sergej (55173952800); Šugar, Violeta (35369168600); Bojnec, Štefan (16743941400)",55173952800; 35369168600; 16743941400,The missing link between wages and labour productivity in tourism: evidence from Croatia and Slovenia,2021,Economic Research-Ekonomska Istrazivanja ,34,1,,732,753,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090300557&doi=10.1080%2f1331677X.2020.1804427&partnerID=40&md5=64b8d4d37cd75fadd92fc746edb11965,"The present article aims to analyse wage-labour productivity causalities in Croatia and Slovenia using cointegration methods based on monthly time series data of variables for labour productivity and real gross wages in tourism industry during the period December 1999–January 2020. The data vector is integrated by chain indices with the constant base January 2000 = 100. A stochastic trend and shocks are covered in the analysis. Shocks are linked to the European Union accession, and economic crisis following with overwhelmed tourist arrivals. The contribution of the research is two-fold. First, the equations for at most normal distributed variables of labour productivity and real wages in tourism are exposed. Three spatial cointegration relations confirm labour productivity integrity of the regional tourism market. Second, pair-wise causalities indicate one cointegrated vector for labour productivity, which drives real gross wages in tourism sub-industries. These results suggest that for a higher non-seasonal assessment of real gross wage, the labour productivity should rise, i.e. less workers, more robotization or more tourist arrivals with better quality solutions. These findings are at most important to be implemented after the COVID-19 infection crisis with expected restructurings and digital transformation in the tourism industry. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Croatia; Slovenia; error correction; European Union; labor productivity; numerical model; stochasticity; tourism market; wage
Georgantopoulos A.G.,"Georgantopoulos, Andreas G. (53263622500)",53263622500,Forecasting tourism expenditure and growth: A VAR/VECM analysis for Greece at both aggregated and disaggregated levels,2012,International Research Journal of Finance and Economics,96,,,155,167,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867094668&partnerID=40&md5=639bff43f2b91e9840bafa4cd52ce18a,"Tourism is one of the most important factors in the productivity of the Greek economy with significant multiplier effects on the country's economic activity. This study tests for the existence and direction of causality between output growth and tourism expenditure using a trivariate model with real effective exchange rate, analysed as a whole and in sub-categories respectively for the period 1988-2011. Results from the aggregated model indicate that all variables return to their long-run equilibrium relationships and unidirectional causal relationship is reported from tourism expenditure to real output in the short-run. Moreover, results from the disaggregated model imply strong bidirectional causal links between growth and business travel and tourism spending (BTS) in the longrun and unidirectional causal links from leisure travel and tourism spending (LTS) to growth and to BTS. Forecasts for the period 2012-2020 indicate increasing total tourism expenditure and particularly for the case of BTS. © EuroJournals Publishing, Inc. 2012.",
Kyara V.C.; Rahman M.M.; Khanam R.,"Kyara, Valensi Corbinian (57223228506); Rahman, Mohammad Mafizur (55295683900); Khanam, Rasheda (18037821800)",57223228506; 55295683900; 18037821800,Investigating the environmental externalities of tourism development: evidence from Tanzania,2022,Heliyon,8,6,e09617,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132389241&doi=10.1016%2fj.heliyon.2022.e09617&partnerID=40&md5=6abd06c0117b854156d9b81fe9fd6be7,"Tourism growth is an important component for welfare improvement in the host destination, but it can be associated with environmental degradation. The aim of the current study is to assess the environmental impacts of tourism growth in Tanzania, using time series data for the period 1995–2017. It utilizes ecological footprints as a proxy for environmental damage, tourism receipt as an economic indicator, and primary energy consumption, urban population, and trade openness as control variables. The study employs Autoregressive Distributed Lag Bounds Testing, Vector Error Correction Model (VECM), and Granger causality test for analysis and the Wild Bootstrap approach to check the accuracy of the computed statistics. The VECM Granger causality test shows that in the case of Tanzania, international tourism revenue and trade openness compact environmental degradation, while urbanization and primary energy consumption accelerate it. Besides, while long run cointegration exists among the variables, the environmental Kuznets curve hypothesis was not ascertained in Tanzania. Therefore, Tanzania must adopt more proactive urban planning strategies to achieve sustainable urbanization thereby improving the quality of the environment. Additionally, it is important for Tanzania to make strategic use of trade and tourism receipts, such as investment on renewable energy, to lessen dependence on fossil fuels, and improve environmental sustainability. So, the study opens new policy perspectives with wide international relevancy as outlined in the policy implication section. © 2022 The Author(s)",
Ahad M.; Anwer Z.; Ahmad W.,"Ahad, Muhammad (57193532172); Anwer, Zaheer (57200209482); Ahmad, Wasim (57199151166)",57193532172; 57200209482; 57199151166,Does crime-tourism nexus hold for Pakistan?,2022,International Journal of Emerging Markets,17,8,,1815,1839,24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099711669&doi=10.1108%2fIJOEM-08-2020-0889&partnerID=40&md5=a9919190f8729ae322a73a846eb5a2f4,"Purpose: The primary objective of this study is to investigate the linkage of tourism and crime for Pakistan along with exchange rates, terrorism and domestic prices in the presence of structural breaks over the period 1984–2017. Design/methodology/approach: The order of integration is tested through ADF and PP unit root tests. The robustness of unit root test is testified via structural break unit root test. Furthermore, the authors use Bayer and Hanck (2013) combined cointegration test to confirm the existence of a long-term theoretical relationship among the variables. For the robustness of cointegration analysis, the authors also employ ARDL bound testing in the presence of structural break years. Moving forward, the authors apply VECM Granger causality to find out the direction of causality. Subsequently, variance decomposition approach and impulse response function are used to distinguish leader from the followers. Findings: The unit root test shows that the order of integration is one, I(1). The cointegration analysis confirms the long-run relationship between underlying variables. The authors find inverse and significant impact of crime and exchange rate on tourism in the long run. On contrary, domestic prices play a positive and significant role to determine tourism in short and long run. Also, terrorism is found to be insignificant with negative impact. Further, the bidirectional causality between crime and tourism is observed in the long run. Similarly, unidirectional causality from terrorism to exchange and exchange rate to domestic price is observed in the short run. Originality/value: The contemporary studies on crime-tourism nexus offer limited evidence, as they frequently suffer from omitted variable bias and ignore possible endogeneity issues. This study uses vector autoregressive models to overcome these biases. Similarly, the authors accommodate the role of structural break years through their analysis. Hence, the results offer more credible evidence. Moreover, the authors contribute to the existing tourism demand literature by adding crime as a potential determinate in case of Pakistan. © 2021, Emerald Publishing Limited.",
